threshold,num_nodes,num_edges,num_components,size_largest_component,num_triangles,modularity_greedy,modularity_louvain
0.0117,72,87,10,44,1.0,0.6450392964402244,0.6657576637754758
0.0118,72,87,10,44,1.0,0.6450392964402244,0.6657576637754757
0.0119,72,87,10,44,1.0,0.6450392964402244,0.6657576637754758
0.012,72,89,10,44,1.0,0.5941489749837191,0.6492946654616152
0.012100000000000001,72,90,10,44,1.0,0.6363033478959835,0.6410754757500652
0.0122,73,92,10,45,1.0,0.6391764040916902,0.6359249460552501
0.0123,73,92,10,45,1.0,0.6391764040916902,0.642999909252286
0.012400000000000001,73,92,10,45,1.0,0.6391764040916902,0.6267489344098618
0.0125,73,92,10,45,1.0,0.6391764040916902,0.6267489344098618
0.0126,73,94,10,45,1.0,0.6198626907187416,0.6268531252978773
0.012700000000000001,73,94,10,45,1.0,0.6198626907187416,0.6308796708592217
0.0128,73,96,10,45,1.0,0.6130804762673796,0.599293508312121
0.0129,73,96,10,45,1.0,0.6130804762673796,0.599293508312121
0.013000000000000001,73,97,10,45,1.0,0.6127324608169928,0.6240926431204109
0.0131,74,98,10,45,1.0,0.5887265235663842,0.6280419702705715
0.0132,80,106,11,46,1.0,0.5843500488544353,0.6325220036168633
0.013300000000000001,80,107,11,46,1.0,0.607855663066889,0.6358930412365491
0.0134,80,107,11,46,1.0,0.607855663066889,0.6358930412365491
0.0135,81,110,11,46,1.0,0.619530672631167,0.6387344221605435
0.013600000000000001,81,110,11,46,1.0,0.619530672631167,0.6387344221605435
0.0137,81,110,11,46,1.0,0.619530672631167,0.6387344221605435
0.013800000000000002,84,112,12,46,1.0,0.6345853336470899,0.6506727623370425
0.013900000000000001,84,112,12,46,1.0,0.6345853336470899,0.6506727623370425
0.014,84,112,12,46,1.0,0.6345853336470899,0.6506727623370425
0.014100000000000001,86,114,12,47,1.0,0.6458868026743311,0.6594873642360514
0.0142,86,117,12,47,1.0,0.6159589443810415,0.6328013491384573
0.0143,86,117,12,47,1.0,0.6159589443810415,0.6328013491384573
0.014400000000000001,88,120,13,47,1.0,0.6177800124249562,0.6155894943888667
0.0145,88,120,13,47,1.0,0.6177800124249562,0.6188994537679918
0.0146,89,122,13,47,1.0,0.6156350961074799,0.6313261455313154
0.014700000000000001,92,126,14,48,1.0,0.6062968491605496,0.6185119112863899
0.0148,93,127,14,48,1.0,0.6118557956549036,0.623680435234966
0.0149,95,131,14,48,1.0,0.6150497289850763,0.6325486463421921
0.015000000000000001,95,132,14,48,1.0,0.6046911246025081,0.6242220362912342
0.0151,95,133,14,48,1.0,0.6047471478464898,0.620319047835608
0.0152,98,138,14,48,1.0,0.603376791483961,0.6236380919152189
